Wall time,Step,Value
1561924568.476141,6,-0.004999999888241291
1561924643.740789,12,-0.004999999888241291
1561924694.0037704,16,-0.003874999936670065
1561924732.297349,19,-0.001249999855645001
1561924808.2410235,25,-0.0024999999441206455
1561924958.841563,37,-0.0038636361714452505
1561925010.4391956,41,-0.0037804876919835806
1561925034.7105691,43,-0.0024999999441206455
1561925060.4209924,45,-0.004999999888241291
1561925072.6155276,46,-0.0013414632994681597
1561925098.5570204,48,-0.004999999888241291
1561925174.3696742,54,-0.0024999999441206455
1561925188.2238533,55,-0.0037499999161809683
1561925200.6988184,56,-0.0024999999441206455
1561925213.0774264,57,-0.0009459457942284644
1561925329.1276593,66,-0.0013414632994681597
1561925405.1026568,72,-0.001249999855645001
1561925417.34355,73,-0.004999999888241291
1561925429.3243723,74,-0.004999999888241291
1561925442.7270732,75,-0.0037179484497755766
1561925505.789065,80,-0.001153846038505435
1561925611.444919,88,-0.0037499999161809683
1561925703.8953116,95,-0.00012195103772683069
1561925809.8252094,103,-0.003648648504167795
1561925850.3064759,106,0.0008823531679809093
1561925864.9112096,107,-0.0009459457360208035
1561925960.096365,114,-0.0037804876919835806
1561926029.4013207,119,0.004375000484287739
1561926139.2322836,127,-0.0022972971200942993
1561926180.3091228,130,0.005000000353902578
1561926192.951842,131,-0.0009459457942284644
1561926317.671416,140,-0.003611111082136631
1561926345.591842,142,0.004090909380465746
1561926358.855556,143,-0.0014634145190939307
1561926374.3957553,144,0.0052941180765628815
1561926471.6282053,151,-0.0022222220432013273
1561926543.0416539,156,-0.0007142855320125818
1561926569.8751633,158,0.006290322635322809
1561926584.8567557,159,0.0001282053126487881
1561926640.5395367,163,0.005000000353902578
1561926710.8528867,168,-0.002435897244140506
1561926724.6405122,169,0.00863636378198862
1561926766.5891478,172,0.012857142835855484
1561926851.5375235,178,-0.0022972971200942993
1561926865.0719247,179,-0.0013414632994681597
1561926893.561915,181,0.002894737059250474
1561926935.1700292,184,-0.0007142855320125818
1561926963.2898748,186,-0.001249999855645001
1561926976.0938923,187,-0.00023809506092220545
1561927004.1599472,189,-0.0009459457942284644
1561927030.7889922,191,0.005000000353902578
1561927045.959486,192,0.005810811184346676
1561927142.875462,199,0.00026315811555832624
