Wall time,Step,Value
1562104998.7503607,7,-0.0038636361714452505
1562105009.5858908,8,-0.0026744185015559196
1562105065.221615,13,-0.001590908970683813
1562105098.5537293,16,-0.004999999888241291
1562105109.5549376,17,-0.0038372091948986053
1562105143.3791976,20,-0.0028723403811454773
1562105154.3143973,21,-0.0036842103581875563
1562105165.6457806,22,-0.0003488369984552264
1562105208.6147177,26,-0.0037804876919835806
1562105343.0886464,38,-0.0038372091948986053
1562105388.090223,42,-0.004999999888241291
1562105410.926629,44,-0.0038372091948986053
1562105433.3368614,46,0.0015789475291967392
1562105444.2194083,47,-0.0037804876919835806
1562105466.732553,49,-0.0038372091948986053
1562105534.087442,55,-0.00023809506092220545
1562105545.893312,56,-0.0014285712968558073
1562105557.3097043,57,-0.0026744185015559196
1562105568.4641616,58,-0.000238095031818375
1562105579.906568,59,0.0012500002048909664
1562105649.267128,65,0.0005555557436309755
1562105671.8546095,67,-0.0023684208281338215
1562105695.7711396,69,-0.0037499999161809683
1562105707.076587,70,-0.0015116276917979121
1562105740.4461448,73,-0.0013414632994681597
1562105751.683951,74,-0.0003488370275590569
1562105762.9202313,75,0.0005555557436309755
1562105775.18606,76,0.002500000176951289
1562105832.5765953,81,-0.00023809506092220545
1562105890.7454164,86,-0.0026190474163740873
1562105925.5214107,89,0.0001282053126487881
1562105936.329546,90,0.0009523811750113964
1562106003.258857,96,-0.003809523768723011
1562106092.8223057,104,0.0023529413156211376
1562106126.5510585,107,-0.00023809506092220545
1562106138.1916604,108,0.002894737059250474
1562106218.6250353,115,-0.0003488370275590569
1562106252.1260328,118,0.0001282053126487881
1562106274.8864927,120,-0.0038372091948986053
1562106355.413383,127,-0.0013414632994681597
1562106366.9997325,128,-0.00055555539438501
1562106400.7900188,131,-0.0026744185015559196
1562106411.6931906,132,0.0001282053126487881
1562106492.2366598,139,-0.003809523768723011
1562106514.8971336,141,-0.00046511608525179327
1562106538.0689862,143,-0.001590908970683813
1562106548.8842883,144,-0.002435897244140506
1562106559.9145045,145,-0.0026190474163740873
1562106639.9132104,152,-0.00256097549572587
1562106696.501441,157,-0.0027272726874798536
1562106719.475806,159,-0.002435897244140506
1562106730.8947392,160,-0.00277777761220932
1562106775.5881388,164,-0.0013414632994681597
1562106832.1254473,169,-0.00256097549572587
1562106843.6936822,170,-0.0037804876919835806
1562106877.2469814,173,-0.0005681816255673766
1562106944.5731022,179,-0.0037499999161809683
1562106955.7712166,180,0.003108108416199684
1562106978.626087,182,-0.000454545282991603
1562107013.4105778,185,-0.0026190474163740873
1562107035.9710004,187,-0.0015116276917979121
1562107047.4216251,188,-0.0026744185015559196
1562107069.7908235,190,-0.000238095031818375
1562107093.0142667,192,-0.00256097549572587
1562107104.2573574,193,0.001097561209462583
1562107183.8630488,200,-0.001590908970683813
1562107273.1473129,208,0.001097561209462583
1562107285.2528405,209,-0.003809523768723011
1562107296.307681,210,0.0004054055898450315
1562107341.0015066,214,-0.0015116276917979121
1562107453.3976514,224,0.00020833352755289525
1562107465.1712983,225,-0.0038372091948986053
1562107487.7864814,227,-0.0036842103581875563
1562107533.4398885,231,-0.001249999855645001
1562107567.6913335,234,0.0008139536948874593
1562107578.7706404,235,-0.0024999999441206455
1562107589.7813172,236,0.0006818184047006071
1562107623.5960996,239,-0.0038636361714452505
1562107759.8778605,251,-0.0029347825329750776
1562107826.266205,257,0.0004347827925812453
1562107861.045548,260,-0.0026744185015559196
1562107883.578406,262,-0.001590908970683813
1562107894.7848716,263,-0.00256097549572587
1562107916.7719946,265,-0.003913043532520533
1562107962.6500301,269,-0.00012195103772683069
1562108007.1520994,273,-0.0037179486826062202
1562108030.500104,275,-0.0017391302390024066
1562108086.6409705,280,-0.003809523768723011
1562108233.7901795,293,-0.00277777761220932
